Yeah ||| Neutral
This result is driven by growth for traditional Gartner EBITDA, offset by year-over-year decline to traditional CEB EBITDA ||| sales,earnings Negative

Our customer adoption is excellent ||| Neutral

I think it represents, at this point, an estimate for the composite total revenue ||| sales Neutral Uncertain

In Yard House and Seasons 52 and Bahama Breeze whether theyre located more in these upscale suburban areas or urban areas ||| Neutral

Looking forward, we are focused on product innovations and gaining share in the inland fishing category ||| products_services Neutral

So, we actually expect to deliver nice growth in Events contribution in Q4 as well ||| sales Positive Confident

Yeah, sure, thank you, Joe ||| Neutral

I think, first of all, the 7% number was aggregate revenue, not product revenue ||| sales,products_services Neutral Uncertain

On the margin side, our adjusted operating margins for the quarter were 12.7%, and this was flat sequentially and down year-over-year due to the near term softness in commercial aerospace, which does run above segment average margins ||| sales,earnings Negative

At our scale, what does that mean? We'll see ||| Neutral

Okay ||| Neutral

First off, thank you ||| Neutral

Managing operations has always been strength for us and we believe we can continue to build further on that ||| Positive Confident

We hope that you'll be able to join us ||| Neutral

We're really pleased ||| Neutral

For the full year, we expect to continue to outpace the growth of production due to the continued benefit of content growth as well as share gains ||| products_services Positive Confident

I'm glad you asked the question to clarify ||| Neutral

Post-launch demand and purchasing ahead of currency driven pricing adjustments contributed to a higher than expected transactional revenue, mainly from Windows and SQL Server 2016. As expected, Enterprise Services revenue growth declined this quarter 4% and 2% in constant currency due to lower volumes of Windows Server 2003 service agreements ||| sales,products_services Negative Uncertain

We had a strong start to the year ||| Neutral

Change is a constant in our business ||| Neutral

Phone revenue declined 81%, and we closed the sale of our feature phone business during this quarter ||| sales Negative

And so youve always have to think about affordability and clearly the levels that are going on today are affordable given how strong revenue and memory is ||| sales Positive Uncertain

With regard to hyper-converged, I think that that's an opportunity for net new customer acquisition, net new workload capture and primarily at the expense of direct-attached storage or alternate storage solution from our competitors, and so we do see hyper-converged being additive to our installed base ||| op_costs,acquisitions Neutral Uncertain

And I believe we have cutting-edge products that are differentiated and are capable of helping institutions across the world plug in and help them manage potential fraud while work on declines, and so help them really maximize their P&L in attractive ways when they're looking for revenue ||| sales,products_services Negative

And I'd say that has been the bigger catalyst driving growth in the Media business that those  the gaming and the software download area tends to be much more spiky ||| sales Neutral

So every store has the same consistent processes, the same consistent training and the same consistent approach to servicing the customer ||| products_services Positive

And I think what we said and we suppose taking to this is as I guess bigger the Fed revenue in particular from a subscription point of view, well start talking about it ||| sales Neutral Uncertain

As we've highlighted before, it's our strategies to stay inside those outskirts ||| Neutral
